Region,Mean,Max,Min
R-47l,0.0904206730329151,0.20001016557216647,-1.2309912189513728e-17
R-a47r,0.09547865032307457,0.24206683039665225,-7.663561398425875e-18
R-6r,0.13430058686682045,0.33479124307632463,-1.3802741488496712e-17
R-IFJa,0.06975637444201155,0.23451642692089097,-1.84066528629552e-17
R-IFJp,0.1286167410741139,0.26245862245559703,-1.1785345145927454e-17
R-IFSp,0.09731735691077932,0.21502555906772616,-1.1236866276965403e-17
R-IFSa,0.0901019962286934,0.23424364626407626,-9.932116892782835e-18
R-p9-46v,0.10216537975744194,0.24330954253673556,-1.043021144153809e-17
R-46,0.08814675777914963,0.22246463596820837,-1.135229351275901e-17
R-a9-46v,0.08878021328485321,0.19569261372089386,-1.277406496948809e-17
R-9-46d,0.07530490056711356,0.19884079694747925,-1.7030351297495122e-17
R-9a,0.06098030043327597,0.16205064952373507,-6.237113357283742e-18
R-10v,0.08404787087161901,0.20779712498188016,-1.1980844105647316e-17
R-a10p,0.0723050026060832,0.21619667112827304,-1.6174258188516578e-17
R-10pp,0.07255894798767043,0.23449330031871804,-6.787346526435899e-18
R-11l,0.13189339516346657,0.3293958604335785,-1.4370180042211927e-17
R-13l,0.14114402098629716,0.399361938238144,-1.0579537462611008e-17
R-OFC,0.09153099706044064,0.33854675292968756,-1.4065688104723298e-17
R-47s,0.10976824212540162,0.25476440787315385,-1.6974017776096845e-17
R-LIPd,0.2492331490735122,0.7546170949935918,-1.8509131276196792e-17
R-6a,0.14509650807528748,0.42204952239990234,-1.4890703046512756e-17
R-i6-8,0.14946605328240814,0.32087951898574824,-1.62646156065821e-17
R-s6-8,0.1234056084519544,0.2558243870735169,-8.332798928849022e-18
R-43,0.17543070398297445,0.3266291916370392,-1.0497197912322385e-17
R-OP4,0.17039749157468956,0.39007592201232916,-1.233587253219783e-17
R-OP1,0.18450304167791773,0.35941955447196977,-1.4547437239477644e-17
R-OP2-3,0.18731183306574695,0.3597155809402467,-1.1902651835404466e-17
R-52,0.1855496398807536,0.34404200315475464,-1.3355804641418259e-17
R-RI,0.20803803040239707,0.43151000142097484,-1.413434088024213e-17
R-PFcm,0.24408488014726853,0.45311194658279424,-2.3604511193375563e-17
R-PoI2,0.1460061785890926,0.34295102953910833,-1.5859654371148095e-17
R-TA2,0.17608798093413627,0.3085915148258208,-2.293060869525686e-17
R-FOP4,0.13680583794377965,0.2843806743621827,-7.910142370670439e-18
R-MI,0.13771174499661076,0.25449055433273315,-1.4657491716000763e-17
